#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Speed (ns/day)"
491285000,-233697.2709612304,65835.75366964028,-167861.5172915901,299.27512056317306,302.88336076106555,230
491290000,-232969.5795612177,65237.22236375592,-167732.35719746177,296.5543264848032,304.06061694909454,230
491295000,-234285.7264211576,65753.54413419962,-168532.18228695798,298.9014137661961,300.91501484788415,230
491300000,-232052.2228891435,65550.758836683,-166501.4640524605,297.97959559020535,305.46287386996937,230
491305000,-233980.95130262896,65503.284260189044,-168477.66704243992,297.76378641643623,303.19419125755,230
491310000,-233973.49065974331,65726.7305718062,-168246.76008793712,298.77952510128785,301.80404591073574,230
491315000,-233165.49134698673,65551.40852439898,-167614.08282258775,297.982548930278,303.86618062317746,230
491320000,-233436.67949427385,65737.63718096435,-167699.0423133095,298.8291041915056,302.5224380312848,230
491325000,-234070.25876955246,65288.13315393755,-168782.1256156149,296.7857559440303,303.14797417081184,230
491330000,-233202.6190703283,65823.98109926819,-167378.63797106012,299.22160500025984,302.9811958463813,230
491335000,-234337.95524796145,65523.578972608084,-168814.37627535337,297.8560417969469,299.51784320244616,230
491340000,-233370.8377486514,65637.47709887702,-167733.36064977437,298.3737980854539,301.97588491793186,230
491345000,-234963.07715223124,64988.21375317057,-169974.86339906068,295.4223871083947,299.720166861102,230
491350000,-234395.02628313587,65734.65286082157,-168660.3734223143,298.8155381165274,300.44559314586826,230
491355000,-234298.92261451297,65070.453100591665,-169228.4695139213,295.79622942419746,301.40506174023915,230
491360000,-234454.97272899654,65011.16470486752,-169443.80802412902,295.52671717911295,301.84396298697766,230
491365000,-233445.16789124743,65686.51312846167,-167758.65476278577,298.5967052878158,303.91503213715686,230
491370000,-234648.3976359649,65239.99578716548,-169408.40184879943,296.56693386877015,301.85515245249826,230
491375000,-234300.4508084394,65129.307332614204,-169171.1434758252,296.0637680548416,301.5309238424616,230
491380000,-232762.5090818999,65128.21119781624,-167634.29788408364,296.0587852627336,304.5445392285559,230
491385000,-233566.36382996337,65510.35997772886,-168056.0038522345,297.79595110054424,302.719485871904,230
491390000,-233678.20405585156,65968.93965857965,-167709.2643972719,299.8805553106382,302.8558934814629,230
491395000,-233183.86466787988,65450.140322051244,-167733.72434582864,297.522205548794,303.1696331511593,230
491400000,-233705.98214261956,65766.7552623761,-167939.22688024346,298.9614687022667,302.90794053757594,230
491405000,-233198.64058768447,65346.32966757327,-167852.3109201112,297.0503047289061,303.956925795985,230
491410000,-234247.64766456,64862.67914288514,-169384.96852167486,294.8517338761624,302.11614740041614,230
491415000,-233318.5606031157,65702.59352991206,-167615.96707320365,298.6698033206403,301.75639367586035,230
491420000,-233721.6779665677,65276.21307521075,-168445.46489135694,296.7315698399874,301.5529085883283,230
