#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Speed (ns/day)"
895000,-232677.7891710142,65860.68279216392,-166817.1063788503,299.38844297133187,300.53598346367824,214
900000,-232725.7866244011,66012.99911298824,-166712.78751141287,300.08084007681924,301.7785806323964,214
905000,-231867.77526381286,65324.85442285193,-166542.92084096093,296.9526829034562,302.9389868802259,214
910000,-232697.96240213723,65902.94881559873,-166795.0135865385,299.58057518755373,303.3241244675134,214
915000,-231945.52101091784,65265.174906957196,-166680.34610396065,296.68139271052894,302.06042775972605,214
920000,-232514.10326923826,65962.1510387928,-166551.95223044546,299.8496957109234,301.88039250249346,214
925000,-232900.2920843272,65464.31454842258,-167435.97753590462,297.5866385213009,301.6103061056394,214
930000,-232369.8435018824,65223.032573347096,-167146.8109285353,296.4898227615425,301.4725441381219,214
935000,-233122.1409926708,65535.54331575974,-167586.59767691104,297.91042911750736,301.7072013809472,214
940000,-232484.60871062055,65308.07822779915,-167176.5304828214,296.8764219431548,301.0435662142377,214
945000,-232784.52166796825,65342.66409009474,-167441.8575778735,297.03364180518037,300.2249988497708,214
950000,-231762.47366765887,64943.19798263261,-166819.27568502625,295.21775513558254,303.56713348957294,214
955000,-232302.2179972194,65867.32044714212,-166434.8975500773,299.41861631762373,302.47926305906,214
960000,-231919.35635817377,65575.75067919999,-166343.60567897378,298.09320310991114,301.28495496864764,214
965000,-233028.31691787136,65960.75766899856,-167067.5592488728,299.8433617527029,302.18419265126244,214
970000,-232235.36241710302,65257.86744247883,-166977.4949746242,296.6481745548783,300.72839380991985,214
975000,-232764.74261414586,65412.9382698501,-167351.80434429576,297.3530930523598,301.766518666037,214
980000,-232781.52363818116,65967.19533438323,-166814.32830379793,299.87262598948536,302.0227363565458,214
985000,-232724.3372068142,65235.59229144384,-167488.74491537036,296.54691652804667,302.05055057559696,214
990000,-231895.00637816242,65052.948217986384,-166842.05816017604,295.7166560076247,302.8855486813048,214
995000,-232458.8124705013,65498.275307931704,-166960.53716256958,297.7410168010349,301.7002824999881,214
1000000,-232195.832731592,65203.38297205325,-166992.44975953875,296.4004999169109,301.2699067218019,214
1005000,-233160.12781228032,65822.44020974892,-167337.6876025314,299.2146004492226,301.39314726797824,214
1010000,-232210.07102192892,66081.00212755142,-166129.0688943775,300.38996709743753,302.22091887231204,214
1015000,-233313.6489361322,65330.219884553226,-167983.42905157898,296.97707313381017,301.0376043745376,214
1020000,-232327.9661880748,65555.47624931775,-166772.48993875703,298.0010399294332,301.75183915255207,214
1025000,-232270.03854621598,64814.672524368216,-167455.36602184776,294.6335061542383,302.5435356375375,214
1030000,-233023.1007819397,65321.83188845625,-167701.26889348344,296.9389431147357,302.29117725846965,214
1035000,-232442.93352298997,66185.59649108653,-166257.33703190344,300.86543048947635,301.55208226556675,214
1040000,-233164.56409665616,65329.485904233414,-167835.07819242275,296.9737366177614,301.5698437377538,214
1045000,-232474.9510138433,65739.44815171513,-166735.50286212817,298.83733647350385,300.6228876171905,214
1050000,-232416.5459745396,65088.784902559244,-167327.76107198035,295.87956183763833,300.9232259838879,214
1055000,-232631.45884540048,66142.45612501133,-166489.00272038917,300.6693237004043,302.16299887800085,214
1060000,-231966.06047223252,65307.71112712397,-166658.34934510855,296.8747531827518,303.2153649743565,214
1065000,-232284.7878807329,65807.80714119729,-166476.98073953562,299.1480816792398,300.7764014309335,214
1070000,-232690.7419658287,65673.98256922001,-167016.7593966087,298.5397440711707,302.7002836038413,214
1075000,-232403.2583891626,65180.58387945709,-167222.6745097055,296.29686016487454,301.57812945275003,214
1080000,-232106.85001386935,64954.01712837431,-167152.83288549504,295.2669366359947,303.2846151002792,214
1085000,-232830.45175403147,65244.978917576314,-167585.47283645516,296.58958610363277,301.06683107356713,214
1090000,-232140.63040705048,65817.80964360939,-166322.8207634411,299.19355089540966,301.89497843946333,214
1095000,-233050.49888128182,65401.36441760545,-167649.13446367637,297.3004808191456,300.65276565978957,214
1100000,-232531.9951326626,65839.09273405623,-166692.90239860635,299.2902992290188,302.77475194533895,214
1105000,-232653.21287846076,66371.40957539657,-166281.8033030642,301.7100966489639,301.5105437823768,214
1110000,-232991.50156155252,64960.48454464844,-168031.01701690408,295.2963361138967,301.2077499782981,214
1115000,-233146.57142432965,66097.79871486279,-167048.77270946687,300.4663207565432,300.86393310666733,214
1120000,-232890.55828368734,65002.733346169116,-167887.82493751822,295.48839004301544,301.0510403443747,214
1125000,-233635.71377185197,65778.48522120807,-167857.2285506439,299.01479056231943,299.70009699190365,214
